Name, Headquarters, Address, Phone, Website
"Advanced Microtechnology","Winter Park, Florida, United States", NULL , NULL , NULL 
"Advanced Processing & Imaging","Boca Raton, Florida, United States", NULL , NULL , NULL 
"Advanced Protection Technologies","Clearwater, Florida, United States","14550 58th St N, Clearwater, FL 33760, United States","(727) 535-6339","http://www.ascopower.com/en-us/products-catalog/products/surge-protective-devices/",
"Advanced Public Safety","Deerfield Beach, Florida, United States","400 Fairway Dr #101, Deerfield Beach, FL 33441, United States","(954) 354-3000","http://www.aps.us/about.html",
"Advanced Recovery Systems","Fort Lauderdale, Florida, United States","100 SE 3rd Ave #1800, Fort Lauderdale, FL 33394, United States","(954) 860-7199","https://www.advancedrecoverysystems.com/",
"Advanced Senior Care","Boca Raton, Florida, United States","6501 Congress Ave #100, Boca Raton, FL 33487, United States","(561) 221-1501","NULL",
"Advanced Separation Technologies","Lakeland, Florida, United States", NULL , NULL , NULL 
"Advanced Technologies Solution","Jacksonville, Florida, United States", NULL , NULL , NULL 
"Advanced Tree Plant City","Plant City, Florida, United States", NULL , NULL , NULL 
"Advanced Wellness and Sports Chiropractic Center","Lake Worth, Florida, United States","1814 N Federal Hwy, Lake Worth, FL 33460, United States","(561) 582-2225","http://www.alexkeithchiropractor.com/",
"AdvanceTec Industries Inc","Miami, Florida, United States","1150 NW 163rd Dr, Miami, FL 33169, United States","(800) 881-8211","https://advancetec.com/",
"Advansis Media","Miami, Florida, United States", NULL , NULL , NULL 
"Advantage ONE REALTY OF FLORIDA","Jacksonville, Florida, United States", NULL , NULL , NULL 
"Advantage Vacation Homes","Kissimmee, Florida, United States","7799 Styles Blvd, Kissimmee, FL 34747, United States","(407) 396-2262","https://www.advantagevacationhomes.com/",
"Advantix Systems","North Miami Beach, Florida, United States", NULL , NULL , NULL 
"Advantone","Plantation, Florida, United States", NULL , NULL , NULL 
"Advantor Systems","Orlando, Florida, United States","12612 Challenger Pkwy #300, Orlando, FL 32826, United States","(800) 238-2686","http://www.advantor.com/",
"Adventist Health System","Altamonte Springs, Florida, United States","900 Hope Way, Altamonte Springs, FL 32714, United States","(407) 357-1000","http://www.adventisthealthsystem.com/",
"Adverhit","Miami, Florida, United States", NULL , NULL , NULL 
"Advise.me","Hollywood, Florida, United States", NULL , NULL , NULL 
"Advisorfi","West Palm Beach, Florida, United States", NULL , NULL , NULL 
"Advocate Medical Services, Inc.","Tampa, Florida, United States","5912 Breckenridge Pkwy ste g, Tampa, FL 33610, United States","(813) 280-6547","http://www.activstyle.com/",
"Advocate PAC - Your Personal Lobbyist","Tallahassee, Florida, United States", NULL , NULL , NULL 
"Advolution","Gainesville, Florida, United States", NULL , NULL , NULL 
"ADVOS legal","Ponte Vedra Beach, Florida, United States","5000 Sawgrass Village Dr Suite 7, Ponte Vedra Beach, FL 32082, United States","(904) 567-5311","http://advoslegal.com/",
"AdWork Media","Gainesville, Florida, United States", NULL , NULL , NULL 
"AdWorldMedia","Pompano Beach, Florida, United States", NULL , NULL , NULL 
"ADX Technologies","Coral Gables, Florida, United States", NULL , NULL , NULL 
"AerCap","Fort Lauderdale, Florida, United States", NULL , NULL , NULL 
"Aerdos, Inc.","Ormond Beach, Florida, United States", NULL , NULL , NULL 
"Aerex Industries","Fort Pierce, Florida, United States","3504 Industrial 27th St, Fort Pierce, FL 34946, United States","(772) 467-2608","http://www.aerexglobal.com/",
"AerialWayz™","Orlando, Florida, United States", NULL , NULL , NULL 
"Aero-News Network","Saint Augustine, Florida, United States", NULL , NULL , NULL 
"Aero-plan","Marathon Shores, Florida, United States", NULL , NULL , NULL 
"Aerocare Holdings","Orlando, Florida, United States","3325 Bartlett Blvd Orlando Corp, FL 32811, United States","(407) 206-0040","http://www.aerocareusa.com/",
"AeroHose","Lantana, Florida, United States", NULL , NULL , NULL 
"aeROIFlight Corporation","North Miami Beach, Florida, United States", NULL , NULL , NULL 
"Aeromarine Consulting","Tampa, Florida, United States", NULL , NULL , NULL 
"Aeronyde Corporation","Melbourne, Florida, United States","3030 Venture Ln #107, Melbourne, FL 32934, United States","(321) 622-8676","http://www.aeronyde.com/",
"Aeropost","Miami, Florida, United States","6703 NW 7th St, Miami, FL 33126, United States","NULL","NULL",
"Aerosim","Sanford, Florida, United States","1200 Red Cleveland Blvd, Sanford, FL 32773, United States","NULL","NULL",
"Aerosonic","Clearwater, Florida, United States", NULL , NULL , NULL 
"AerSale Holdings","Coral Gables, Florida, United States","121 Alhambra Plaza # 1700, Coral Gables, FL 33134, United States","(305) 764-3200","http://www.aersale.com/",
"AESP","Miami Springs, Florida, United States", NULL , NULL , NULL 
"Affiliate Fury","Royal Palm Beach, Florida, United States", NULL , NULL , NULL 
"AffiliateManager.com","Orlando, Florida, United States", NULL , NULL , NULL 
"Affinity Logic Systems","Orlando, Florida, United States", NULL , NULL , NULL 
"Affirmative Technologies","Palm Harbor, Florida, United States","28100 US Hwy 19 N #205, Clearwater, FL 33761, United States","(727) 772-9881","https://www.affirmativeusa.com/",
"Affordable Bail Bonds","Sarasota, Florida, United States","2127 Ringling Blvd #101a, Sarasota, FL 34237, United States","(941) 951-0508","http://bailbondsaffordable.net/",
"Affordable Marble Restoration LLC","Boca Raton, Florida, United States","20423 State Road 7 Suite F6 #341, Boca Raton, FL 33498, United States","(800) 208-3050","http://www.affordablemarblerestoration.com/",
"Affordable Sales & Rentals Realty","Hallandale, Florida, United States","1025 E Hallandale Beach Blvd #14, Hallandale Beach, FL 33009, United States","(954) 457-8277","http://affordablesalesandrentals.net/",
"AFLG Private Equity","Tampa, Florida, United States", NULL , NULL , NULL 
"African American Research Library-Broward County","Fort Lauderdale, Florida, United States","2650 Sistrunk Blvd, Fort Lauderdale, FL 33311, United States","(954) 357-6282","http://www.broward.org/Library/Pages/default.aspx",
"Agency a la Carte","Jacksonville, Florida, United States","320 1st St N, Jacksonville Beach, FL 32250, United States","(904) 727-7360","https://agencyalacarte.com/",
"agencyweb","Pompano Beach, Florida, United States", NULL , NULL , NULL 
"AgendaPal Corp.","Tallahassee, Florida, United States", NULL , NULL , NULL 
"Agent Boomerang","Palm Harbor, Florida, United States", NULL , NULL , NULL 
"Agent Leads University","Miami, Florida, United States", NULL , NULL , NULL 
"Agent Link","Clearwater, Florida, United States","1130 Cleveland St Ste 210, Clearwater, FL 33755, United States","(800) 535-4545","http://www.agentlinkmarketing.com/",
"AGERpoint","New Smyrna Beach, Florida, United States","401 Palmetto St, New Smyrna Beach, FL 32168, United States","(386) 424-5000","https://www.adventhealth.com/hospital/adventhealth-new-smyrna-beach",
"Agile Culture: Consulting and Coaching","Miami, Florida, United States", NULL , NULL , NULL 
"Agile Echelon, LLC","Saint Petersburg, Florida, United States", NULL , NULL , NULL 
"Agile Sports Analytics","Gainesville, Florida, United States", NULL , NULL , NULL 
"AgileThought","Tampa, Florida, United States","2502 N Rocky Point Dr #900, Tampa, FL 33607, United States","(877) 514-9180","https://www.agilethought.com/",
"AgingCare.com","Naples, Florida, United States", NULL , NULL , NULL 
"Aginto Solutions","Sarasota, Florida, United States", NULL , NULL , NULL 
"Agritek Holdings Inc","Miami, Florida, United States", NULL , NULL , NULL 
"Ahead of Time Miami","Miami, Florida, United States", NULL , NULL , NULL 
"Ahosting","Hudson, Florida, United States", NULL , NULL , NULL 
"Aigean Networks","Oakland Park, Florida, United States","3496 NE 12th Terrace, Oakland Park, FL 33334, United States","(754) 223-2240","http://www.aigean.com/",
"AIM Group","Altamonte Springs, Florida, United States", NULL , NULL , NULL 
"AIP Precision Machining","Daytona Beach, Florida, United States","724 Fentress Blvd, Daytona Beach, FL 32114, United States","(386) 274-5335","http://www.aipprecision.com/",
"Air Charter Advisors","Tamarac, Florida, United States","341 8th Ave SE #3B, St. Petersburg, FL 33701, United States","(727) 521-7373","https://tampabayaircharter.com/",
"Air Conditioning Experts, Inc. - Lakeland","Lakeland, Florida, United States", NULL , NULL , NULL 
"Air Conditioning System Stuart","Port Saint Lucie, Florida, United States","3054 N US Hwy 1, Fort Pierce, FL 34946, United States","(772) 208-9892","https://grimesacinc.com/",
"Air McCall, Inc","Jacksonville, Florida, United States","6662 Columbia Park Dr S suite 1, Jacksonville, FL 32258, United States","(904) 288-6110","http://www.airmccall.com/",
"Air Parts & Supply Company","Miami, Florida, United States","12840 SW 84th Avenue Rd, Miami, FL 33156, United States","(305) 235-5401","http://www.apscomiami.com/",
"Air Quality Assessors","Winter Park, Florida, United States", NULL , NULL , NULL 
"Air Source America","Jacksonville Beach, Florida, United States","207 20th St N, Jacksonville Beach, FL 32250, United States","(904) 233-8831","http://buehlerair.com/",
"Air-Transport IT Services","Orlando, Florida, United States","2875 S Orange Ave, Orlando, FL 32806, United States","(386) 736-7959","http://www.youngschimneyservice.com/",
"Airborne Response","Miami Beach, Florida, United States", NULL , NULL , NULL 
"AirBowl LLC","Davie, Florida, United States", NULL , NULL , NULL 
"Aircraft Service International Group","Orlando, Florida, United States","201 S Orange Ave # 1100, Orlando, FL 32801, United States","(407) 648-7373","NULL",
"AirFoodWater","Gainesville, Florida, United States", NULL , NULL , NULL 
"Airgas Retail Services","Largo, Florida, United States", NULL , NULL , NULL 
"AirMD Apex","Boca Raton, Florida, United States","7700 Congress Ave, Boca Raton, FL 33487, United States","(561) 245-4500","https://www.airmd.com/",
"Airport Revenue News","Boca Raton, Florida, United States","903 NW 35th St, Boca Raton, FL 33431, United States","(561) 391-2202","https://bocaairport.com/",
"Airpowered","Tavares, Florida, United States", NULL , NULL , NULL 
"Airspan Networks","Boca Raton, Florida, United States","777 Yamato Rd, Boca Raton, FL 33431, United States","(561) 893-8670","http://www.airspan.com/",
"AirTran Airways","Orlando, Florida, United States", NULL , NULL , NULL 
"AIS Productions","Doral, Florida, United States", NULL , NULL , NULL 
"AIVMI","Hollywood, Florida, United States", NULL , NULL , NULL 
"AJ Williams Solution","Fort Lauderdale, Florida, United States", NULL , NULL , NULL 
"AJR & Partners","Miami, Florida, United States", NULL , NULL , NULL 
"Akerman LLP","Miami, Florida, United States","98 SE 7th St #1100, Miami, FL 33131, United States","(305) 374-5600","http://www.akerman.com/",
"Akimeka","Maitland, Florida, United States","901 N Lake Destiny Rd # 151, Maitland, FL 32751, United States","(844) 254-6352","https://www.akimeka.com/",
"Akita Copy Products Inc","Tampa, Florida, United States","5402 Airport Blvd, Tampa, FL 33634, United States","(813) 884-4433","https://www.akitacopy.com/?utm_source=Google%20Maps",
"ALA Services","Naples, Florida, United States","704 Goodlette Rd N, Naples, FL 34102, United States","(239) 330-6093","https://www.alanaples.com/contact-us.html",
"Ala-Septic","St. Pete Beach, Florida, United States", NULL , NULL , NULL 
"Alacarte","Miami Beach, Florida, United States", NULL , NULL , NULL 
"Alarm Grid","Pompano Beach, Florida, United States","151 FL-50, Clermont, FL 34711, United States","(352) 394-8884","https://www.apcsecure.com/",
"ALAS Latin American Lounge","Miami, Florida, United States", NULL , NULL , NULL 
"Albatross Investment","Palm Harbor, Florida, United States", NULL , NULL , NULL 
"Alberto Medrano, Keller Williams St Pete Realty","Saint Petersburg, Florida, United States","111 2nd Ave NE, St. Petersburg, FL 33701, United States","(727) 851-6488","NULL",
"Albiorex","Palm Harbor, Florida, United States", NULL , NULL , NULL 
"Alcantara Media","Delray Beach, Florida, United States", NULL , NULL , NULL 
"Alconbury Trust LLC","Orlando, Florida, United States","605 S Country Club Rd, Lake Mary, FL 32746, United States","(321) 363-1526","NULL",
"Alectrica Motors","Tampa, Florida, United States", NULL , NULL , NULL 
"Alee Software","St. Petersburg, Florida, United States", NULL , NULL , NULL 
"ALERT","Sarasota, Florida, United States", NULL , NULL , NULL 
"AlertFlyers.com","Jupiter, Florida, United States", NULL , NULL , NULL 
"Alessandra Gold","Miami, Florida, United States", NULL , NULL , NULL 
"Alevo","Boca Raton, Florida, United States", NULL , NULL , NULL 
"Alexander law USA","Lake Mary, Florida, United States","255 Primera Blvd #160, Lake Mary, FL 32746, United States","(407) 984-5270","http://www.amcclurelaw.com/",
"Algenol","Bonita Springs, Florida, United States", NULL , NULL , NULL 
"Aliant Payment Systems","Fort Lauderdale, Florida, United States", NULL , NULL , NULL 
"Alico Inc.","Fort Myers Beach, Florida, United States","10070 Daniels Interstate Ct #100, Fort Myers, FL 33913, United States","(239) 226-2000","http://alicoinc.com/",
"Alienware","Miami, Florida, United States","50 NE 9th St, Miami, FL 33132, United States","(305) 416-3120","NULL",
"Align Networks","Jacksonville, Florida, United States","7785 Baymeadows Way #305, Jacksonville, FL 32256, United States","(866) 389-0211","http://alignnetworks.com/",
"Align Wealth Management","St. Petersburg, Florida, United States","125 5th St S #201, St. Petersburg, FL 33701, United States","(727) 455-0033","http://www.alignmywealth.com/",
"Aligned Global","Miami, Florida, United States", NULL , NULL , NULL 
"Alignment Acquisitions","Palm Beach, Florida, United States","1479 E Osceola Pkwy, Kissimmee, FL 34744, United States","(321) 250-6795","https://local.firestonecompleteautocare.com/florida/kissimmee/1479-e-osceola-pkwy/?utm_source=google&utm_medium=organic&utm_campaign=localmaps&lw_cmp=oloc_google_localmaps_maps",
"Alim Innovations","Daytona Beach, Florida, United States", NULL , NULL , NULL 
"Alina de la Torre, D.M.D.","Tampa, Florida, United States","10830 Sheldon Rd, Tampa, FL 33626, United States","(813) 792-9400","https://delatorredentistry.com/",
"Alinean","Winter Park, Florida, United States", NULL , NULL , NULL 
"Alittera","Coral Springs, Florida, United States", NULL , NULL , NULL 
"Alkemy, Inc.","Plantation, Florida, United States", NULL , NULL , NULL 
"All About Truth DNA Services Inc.","Plantation, Florida, United States","1860 N Pine Island Rd #108, Plantation, FL 33322, United States","(954) 476-1818","https://dnacenter.com/locations/dna-paternity-testing-fort-lauderdale/",
"All Children's Hospital","Saint Petersburg, Florida, United States","501 6th Ave S, St. Petersburg, FL 33701, United States","(727) 898-7451","http://www.hopkinsallchildrens.org/",
"All Florida Insurance Group","Palm Beach, Florida, United States","3228 W State Rd 426, Oviedo, FL 32765, United States","(407) 671-6628","http://www.aficf.com/",
"All Florida Pool & Spa Center","Miami, Florida, United States","11720 Biscayne Blvd, Miami, FL 33181, United States","(305) 893-4036","https://allfloridapool.com/",
"All Florida Title","Lake Mary, Florida, United States","4031 W 1st St, Sanford, FL 32771, United States","(407) 536-5365","https://www.allfloridatitle.com/",
"All Garden Services","Davie, Florida, United States", NULL , NULL , NULL 
"All Graphics Impressions","Oakland Park, Florida, United States", NULL , NULL , NULL 
"All Hands Hosting","Delray Beach, Florida, United States", NULL , NULL , NULL 
"All HORIZON FINANCIAL SERVICES CORP.","West Palm Beach, Florida, United States","2101 Vista Pkwy, West Palm Beach, FL 33411, United States","(561) 688-7300","http://www.allhorizonfinancialservices.com/",
"All In Solutions","Delray Beach, Florida, United States","4875 Park Ridge Blvd #103, Boynton Beach, FL 33426, United States","(561) 413-5755","https://aiscounseling.com/",
"All in Solutions Counseling Center","Boynton Beach, Florida, United States","4875 Park Ridge Blvd #103, Boynton Beach, FL 33426, United States","(561) 413-5755","https://aiscounseling.com/",
"All Inclusive Collection","Coral Gables, Florida, United States","55 Miracle Mile, Miami, FL 33134, United States","(305) 444-5896","http://aichotelgroup.com/about-us",
"All Insurance Underwriters","Land O Lakes, Florida, United States","2600 Sumerian Dr # 101, Land O' Lakes, FL 34638, United States","(813) 343-3100","https://aiuinc.com/",
"All Medical Personnel","Hollywood, Florida, United States","4000 Hollywood Blvd, Hollywood, FL 33021, United States","(800) 706-2378","https://allmedical.com/",
"All miami pools","North Miami Beach, Florida, United States","4441 Collins Ave, Miami Beach, FL 33140, United States","(305) 535-3283","https://fontainebleau.com/?utm_source=google-local&utm_medium=organic&utm_campaign=gmb",
"All Pro Dad","Tampa, Florida, United States", NULL , NULL , NULL 
"All Quality Construction & Aluminum, Inc.","Jupiter, Florida, United States","2562 W Indiantown Rd, Jupiter, FL 33458, United States","(561) 252-3994","https://www.allqualityconstructions.com/",
"All Saints Eye Center","Naples, Florida, United States","1435 Immokalee Rd, Naples, FL 34110, United States","(239) 592-5511","http://www.allsaintseyecenters.com/?utm_source=google&utm_medium=gmb&utm_campaign=listing",
"All Star Vacation Homes","Kissimmee, Florida, United States","11513 Andy Rosse Lane, Captiva, FL 33924, United States","(239) 206-2147","http://www.allstarvacationhomes.com/",
"All Trend Tech","Coral Gables, Florida, United States", NULL , NULL , NULL 
"allbookstores.com","Apopka, Florida, United States", NULL , NULL , NULL 
"Allen Sportswear","Oviedo, Florida, United States", NULL , NULL , NULL 
"Allform","Tampa, Florida, United States", NULL , NULL , NULL 
"Alliance Entertainment","Sunrise, Florida, United States","1401 NW 136th Ave #100, Sunrise, FL 33323, United States","(954) 255-4000","http://www.aent.com/",
"Alliance Physical Therapy Partners","Tampa, Florida, United States", NULL , NULL , NULL 
"Alliance Processing Services","Boca Raton, Florida, United States","301 Yamato Rd, Boca Raton, FL 33431, United States","(888) 444-7756","NULL",
"Alliance321","Jasper, Florida, United States", NULL , NULL , NULL 
"Allied Vision Group","Fort Lauderdale, Florida, United States","5350 NW 35th Ave, Fort Lauderdale, FL 33309, United States","(954) 730-9244","NULL",
"Allivet","Hialeah, Florida, United States","14540 NW 60th Ave #7h, Miami Lakes, FL 33014, United States","(877) 500-9944","http://www.allivet.com/",
"Allocable","West Palm Beach, Florida, United States", NULL , NULL , NULL 
"AllPopArt.com","Hollywood, Florida, United States", NULL , NULL , NULL 
